18.08.2025,14:00,Tallinn
19.08.2025,14:00,Helsinki
20.08.2025,14:00,Tromsø
21.08.2025,14:00,Stockholm
22.08.2025,14:00,Copenhagen
23.08.2025,14:00,Glasgow
24.08.2025,14:00,London
25.08.2025,14:00,Amsterdam
26.08.2025,14:00,Warsaw
27.08.2025,14:00,Berlin
28.08.2025,14:00,Brussels
29.08.2025,14:00,Paris
30.08.2025,14:00,Porto
31.08.2025,14:00,Madrid
01.09.2025,14:00,Barcelona
02.09.2025,14:00,Milan
03.09.2025,14:00,Rome
04.09.2025,14:00,Dubrovnik
05.09.2025,14:00,Sarajevo
06.09.2025,14:00,Belgrade
07.09.2025,14:00,Budapest
08.09.2025,14:00,Bucharest
09.09.2025,14:00,Sofia
10.09.2025,14:00,Istanbul
11.09.2025,14:00,Izmir
12.09.2025,14:00,Antalya
13.09.2025,14:00,Ankara
14.09.2025,14:00,Baku
15.09.2025,14:00,Johannesburg
16.09.2025,14:00,Rio de Janeiro
17.09.2025,14:00,São Paulo
18.09.2025,14:00,
19.09.2025,14:00,Buenos Aires
20.09.2025,14:00,Montreal
21.09.2025,14:00,Toronto
22.09.2025,14:00,New York
23.09.2025,14:00,Nashville
24.09.2025,14:00,Chicago
25.09.2025,14:00,Mexico City
26.09.2025,14:00,Los Angeles
27.09.2025,14:00,Seattle
28.09.2025,14:00,
29.09.2025,14:00,Melbourne
30.09.2025,14:00,Jakarta
01.10.2025,14:00,Singapore
02.10.2025,14:00,Manila
03.10.2025,14:00,Shanghai
04.10.2025,14:00,Tokyo
05.10.2025,14:00,Kyiv
06.10.2025,14:00,Moscow
07.10.2025,14:00,Vilnius
08.10.2025,14:00,Tallinn
09.10.2025,14:00,Helsinki
10.10.2025,14:00,Tromsø
11.10.2025,14:00,Stockholm
12.10.2025,14:00,Copenhagen
13.10.2025,14:00,Glasgow
14.10.2025,14:00,London
15.10.2025,14:00,Amsterdam
16.10.2025,14:00,Warsaw
17.10.2025,14:00,Berlin
18.10.2025,14:00,Brussels
19.10.2025,14:00,Paris
20.10.2025,14:00,Porto
21.10.2025,14:00,Madrid
22.10.2025,14:00,Barcelona
23.10.2025,14:00,Milan
24.10.2025,14:00,Rome
25.10.2025,14:00,Dubrovnik
26.10.2025,14:00,Sarajevo
27.10.2025,14:00,Belgrade
28.10.2025,14:00,Budapest
29.10.2025,14:00,Bucharest
30.10.2025,14:00,Sofia
31.10.2025,14:00,Istanbul
01.11.2025,14:00,Izmir
02.11.2025,14:00,Antalya
03.11.2025,14:00,Ankara
04.11.2025,14:00,Baku
05.11.2025,14:00,Johannesburg
06.11.2025,14:00,Rio de Janeiro
07.11.2025,14:00,São Paulo
08.11.2025,14:00,Buenos Aires
09.11.2025,14:00,Montreal
10.11.2025,14:00,Toronto
11.11.2025,14:00,New York
12.11.2025,14:00,Nashville
13.11.2025,14:00,
